LW001~DRAW001~LE0001~P003~COMMON~SERVICE_CREDIT~Free Dental Check-up~50.00~28/08/2026~1~PAY0003~26/11/2026
LW002~DRAW002~LE0004~P001~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~28/08/2026~1~PAY0004~26/11/2026
LW003~DRAW003~LE0002~P003~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~28/08/2026~1~PAY0007~26/11/2026
LW004~DRAW004~LE0003~P001~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~28/08/2026~1~PAY0005~26/11/2026
LW005~DRAW005~LE0005~P001~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~28/08/2026~0~~26/11/2026
LW006~DRAW006~LE0007~P003~UNCOMMON~DISCOUNT_VOUCHER~30% Off Voucher~0.30~12/09/2026~0~~11/12/2026
LW007~DRAW006~LE0013~P004~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~12/09/2026~1~PAY0010~11/12/2026
LW008~DRAW006~LE0008~P004~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~12/09/2026~0~~11/12/2026
LW009~DRAW006~LE0014~P004~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~12/09/2026~0~~11/12/2026
LW010~DRAW006~LE0009~P001~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~12/09/2026~0~~11/12/2026
LW011~DRAW006~LE0010~P001~UNCOMMON~DISCOUNT_VOUCHER~30% Off Voucher~0.30~12/09/2026~0~~11/12/2026
LW012~DRAW006~LE0006~P001~COMMON~DISCOUNT_VOUCHER~15% Off Voucher~0.15~12/09/2026~0~~11/12/2026
LW013~DRAW006~LE0012~P002~UNCOMMON~DISCOUNT_VOUCHER~30% Off Voucher~0.30~12/09/2026~0~~11/12/2026
LW014~DRAW006~LE0011~P001~RARE~DISCOUNT_VOUCHER~50% Off Voucher~0.50~12/09/2026~0~~11/12/2026
